Team 1,Team 2,Date,Start Time,URL
Lucknow Super Giants,Rajasthan Royals,Apr 22 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2056
Mumbai Indians,Chennai Super Kings,Apr 23 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2057
Royal Challengers Bengaluru,Gujarat Titans,Apr 24 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2058
Delhi Capitals,Punjab Kings,Apr 25 2026,10:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2059
Rajasthan Royals,Sunrisers Hyderabad,Apr 25 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2060
Gujarat Titans,Chennai Super Kings,Apr 26 2026,10:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2061
Lucknow Super Giants,Kolkata Knight Riders,Apr 26 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2062
Delhi Capitals,Royal Challengers Bengaluru,Apr 27 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2063
Punjab Kings,Rajasthan Royals,Apr 28 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2064
Mumbai Indians,Sunrisers Hyderabad,Apr 29 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2065
Gujarat Titans,Royal Challengers Bengaluru,Apr 30 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2066
Rajasthan Royals,Delhi Capitals,May 1 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2067
Chennai Super Kings,Mumbai Indians,May 2 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2068
Sunrisers Hyderabad,Kolkata Knight Riders,May 3 2026,10:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2069
Gujarat Titans,Punjab Kings,May 3 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2070
Mumbai Indians,Lucknow Super Giants,May 4 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2071
Delhi Capitals,Chennai Super Kings,May 5 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2072
Sunrisers Hyderabad,Punjab Kings,May 6 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2073
Lucknow Super Giants,Royal Challengers Bengaluru,May 7 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2074
Delhi Capitals,Kolkata Knight Riders,May 8 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2075
Rajasthan Royals,Gujarat Titans,May 9 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2076
Chennai Super Kings,Lucknow Super Giants,May 10 2026,10:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2077
Royal Challengers Bengaluru,Mumbai Indians,May 10 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2078
Punjab Kings,Delhi Capitals,May 11 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2079
Gujarat Titans,Sunrisers Hyderabad,May 12 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2080
Royal Challengers Bengaluru,Kolkata Knight Riders,May 13 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2081
Punjab Kings,Mumbai Indians,May 14 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2082
Lucknow Super Giants,Chennai Super Kings,May 15 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2083
Kolkata Knight Riders,Gujarat Titans,May 16 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2084
Punjab Kings,Royal Challengers Bengaluru,May 17 2026,10:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2085
Delhi Capitals,Rajasthan Royals,May 17 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2086
Chennai Super Kings,Sunrisers Hyderabad,May 18 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2087
Rajasthan Royals,Lucknow Super Giants,May 19 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2088
Kolkata Knight Riders,Mumbai Indians,May 20 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2089
Chennai Super Kings,Gujarat Titans,May 21 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2090
Sunrisers Hyderabad,Royal Challengers Bengaluru,May 22 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2091
Lucknow Super Giants,Punjab Kings,May 23 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2092
Mumbai Indians,Rajasthan Royals,May 24 2026,10:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2093
Kolkata Knight Riders,Delhi Capitals,May 24 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2094
